[190, 55, 16, 66, 73, 18, 12, 10, 4, 58]
[13, 84, 65, 45, 28, 18, 18, 238, 32, 1]
[45, 20, 13, 18, 24, 76, 83, 147, 91, 17]
[3, 38, 17, 83, 39, 35, 142, 93, 36, 8]
[85, 35, 118, 22, 22, 31, 23, 124, 6, 3]
[6, 16, 37, 16, 128, 73, 111, 21, 25, 106]
[77, 13, 36, 68, 49, 61, 49, 53, 30, 77]
[7, 11, 2, 59, 99, 96, 116, 8, 72, 99]
[92, 63, 133, 35, 52, 45, 23, 0, 5, 81]
[34, 170, 100, 127, 9, 14, 24, 2, 21, 81]
[44, 244, 63, 0, 6, 21, 65, 86, 2, 6]
[45, 21, 11, 24, 12, 116, 71, 8, 39, 133]
[27, 84, 15, 11, 77, 2, 128, 44, 10, 88]
[119, 32, 44, 144, 28, 93, 40, 2, 25, 11]
[64, 127, 7, 20, 14, 72, 2, 8, 53, 202]
[31, 9, 1, 71, 81, 17, 31, 22, 89, 110]
[33, 41, 36, 19, 28, 210, 23, 1, 57, 88]
[3, 14, 18, 27, 46, 153, 57, 33, 65, 96]
[59, 20, 28, 59, 195, 41, 31, 13, 34, 28]
[89, 21, 2, 120, 11, 20, 121, 36, 6, 14]
[14, 43, 143, 26, 23, 85, 16, 26, 29, 36]
[20, 0, 171, 5, 45, 12, 7, 59, 64, 56]
[13, 61, 41, 19, 91, 74, 44, 9, 40, 121]
[96, 61, 5, 3, 65, 65, 1, 121, 41, 15]
[76, 35, 2, 8, 44, 99, 113, 47, 24, 14]
[38, 32, 41, 95, 4, 196, 52, 14, 21, 24]
[61, 26, 17, 234, 101, 2, 7, 5, 42, 12]
[13, 72, 45, 2, 45, 106, 43, 55, 17, 106]
[33, 102, 77, 71, 36, 13, 75, 48, 3, 106]
[148, 27, 3, 108, 11, 14, 5, 54, 69, 18]
[10, 18, 14, 38, 21, 47, 34, 197, 93, 102]
[69, 40, 3, 89, 108, 32, 8, 91, 16, 14]
[22, 213, 3, 62, 35, 30, 24, 90, 15, 66]
[0, 157, 26, 4, 11, 33, 4, 30, 178, 71]
[12, 167, 7, 5, 38, 9, 9, 108, 50, 133]
[49, 87, 5, 114, 93, 90, 50, 15, 8, 62]
[14, 37, 50, 82, 35, 0, 147, 7, 0, 89]
[14, 71, 63, 12, 100, 38, 55, 48, 65, 4]
[126, 14, 35, 39, 25, 36, 77, 36, 32, 103]
[32, 15, 32, 257, 87, 8, 23, 34, 35, 17]
[156, 20, 7, 16, 73, 70, 57, 62, 49, 4]
[122, 78, 40, 42, 50, 20, 69, 9, 45, 18]
[8, 104, 43, 51, 19, 1, 70, 23, 103, 101]
[40, 64, 13, 129, 28, 0, 40, 80, 63, 63]
[25, 19, 30, 160, 5, 18, 4, 92, 52, 1]
[14, 0, 72, 18, 111, 52, 22, 32, 21, 26]
[6, 3, 27, 61, 185, 4, 30, 50, 59, 6]
[15, 49, 4, 16, 5, 131, 183, 92, 41, 45]
[5, 78, 42, 39, 60, 153, 13, 21, 104, 13]
[27, 37, 7, 4, 67, 29, 19, 180, 14, 10]
[11, 194, 43, 22, 1, 5, 100, 1, 39, 81]
[83, 97, 1, 56, 79, 1, 87, 8, 15, 16]
[102, 6, 7, 43, 12, 16, 255, 90, 24, 36]
[13, 245, 3, 21, 7, 105, 24, 13, 4, 133]
[21, 5, 152, 26, 18, 0, 4, 109, 105, 27]
[156, 27, 42, 65, 32, 61, 15, 33, 31, 13]
[23, 6, 59, 69, 4, 85, 8, 45, 114, 71]
[33, 1, 107, 53, 12, 10, 23, 101, 4, 8]
[146, 15, 4, 39, 19, 22, 88, 22, 57, 12]
[31, 20, 23, 173, 6, 23, 134, 21, 56, 1]
[38, 77, 131, 12, 40, 52, 17, 26, 11, 37]
[59, 35, 81, 14, 83, 147, 10, 17, 16, 28]
[27, 64, 52, 35, 79, 111, 30, 44, 74, 29]
[37, 55, 55, 38, 0, 202, 9, 47, 15, 49]
[28, 73, 6, 23, 39, 79, 52, 24, 68, 80]
[55, 63, 14, 32, 107, 58, 13, 20, 11, 38]
[28, 176, 10, 10, 106, 9, 10, 69, 8, 36]
[123, 131, 34, 20, 20, 1, 0, 18, 46, 124]
[7, 48, 47, 11, 37, 126, 75, 75, 14, 50]
[14, 26, 38, 4, 24, 52, 93, 121, 41, 61]
[3, 6, 21, 61, 116, 106, 18, 33, 95, 1]
[65, 42, 60, 106, 31, 97, 18, 14, 4, 43]
[12, 21, 82, 8, 173, 95, 35, 10, 76, 8]
[39, 36, 3, 10, 43, 17, 10, 26, 83, 174]
[5, 29, 2, 109, 46, 6, 46, 178, 15, 23]
[37, 72, 26, 4, 91, 15, 109, 35, 140, 47]
[132, 5, 112, 26, 22, 86, 4, 16, 39, 12]
[17, 105, 38, 15, 17, 115, 17, 45, 61, 31]
[28, 78, 118, 10, 56, 20, 25, 131, 77, 30]
[40, 87, 61, 31, 8, 29, 12, 15, 95, 49]
[30, 59, 33, 40, 29, 128, 14, 24, 8, 58]
[75, 29, 54, 64, 37, 38, 135, 2, 66, 4]
